1, 乾為天 , 111111
2, 坤為地 ,000000
3, 水雷屯, 010001
4, 山水蒙, 100010
5, 水天需, 010111
6, 天水訟, 111010
7, 地水師, 000010
8, 水地比, 010000
9, 風天小畜, 110111
10, 天沢履, 111011
11, 地天泰, 000111
12, 天地否, 111000
13, 天火同人, 111101
14, 火天大有, 101111
15, 地山謙, 000100
16, 雷地豫, 001000
17, 沢雷随, 011001
18, 山風蠱, 100110
19, 地沢臨, 000011
20, 風地観, 110000
21, 火雷噬嗑, 101001
22, 山火賁, 100101
23, 山地剥, 100000
24, 地雷復, 000001
25, 天雷无妄, 111001
26, 山天大畜, 100111
27, 山雷頤, 100001
28, 沢風大過, 011110
29, 坎為水, 010010
30, 離為火, 101101
31, 沢山咸, 011100
32, 雷風恒, 001110
33, 天山遯, 111100
34, 雷天大壮, 001111
35, 火地晋, 101000
36, 地火明夷, 000101
37, 風火家人, 110101
38, 火沢睽, 101011
39, 水山蹇, 010100
40, 雷水解, 001010
41, 山沢損, 100011
42, 風雷益, 110001
43, 沢天夬, 011111
44, 天風姤, 111110
45, 沢地萃, 011000
46, 地風升, 000110
47, 沢水困, 011010
48, 水風井, 010110
49, 沢火革, 011101
50, 火風鼎, 101110
51, 震為雷, 001001
52, 艮為山, 100100
53, 風山漸, 110100 
54, 雷沢帰妹, 001011
55, 雷火豊, 001101
56, 火山旅, 101100
57, 巽為風, 110110
58, 兌為沢, 011011
59, 風水渙, 110010
60, 水沢節, 010011
61, 風沢中孚, 110011
62, 雷山小過, 001100
63, 水火既済, 010101
64, 火水未済, 101010
